n_loop,frame_id,total,up,d_role,d_ip,a_role,a_ip,encoder,fps,reso,obj_n,obj_size,obj_stable,all_delay,d_proc_delay,d_trans_delay,a_proc_delay,a_trans_delay,edge_mem_ratio
99,525.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4415.311179778971,0.0,0.019912068660442647,0.0008121453798734224,0.009861460098853478,0.006259468885568472,0.002978994296147274,79.4
100,550.0,7,3,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4398.702153148862,0.0,0.017034283051123984,0.0007288822760948768,0.009014303867633527,0.004583037816561186,0.002708059090834397,79.4
101,575.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,4432.651977085908,0.0,0.018211905772869404,0.000661767446077787,0.010352703241201548,0.004682274965139536,0.002515160120450533,79.4
102,600.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1914.1306909784075,0.0,0.017918650920574482,0.0008777746787438026,0.007137564512399527,0.0067419822399432845,0.003161329489487868,79.4
103,625.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1920.7452541480973,0.0,0.0186383449114286,0.000638732543358436,0.007163130320035495,0.007644029764028696,0.0031924522840059717,79.4
104,650.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1960.3183585540392,0.0,0.02296653160682091,0.0007057648438673753,0.007555191333477314,0.011619081863990197,0.003086493565486027,79.4
105,675.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1948.80206385644,0.0,0.018838845766507663,0.0009597998399000901,0.007372480172377366,0.007018318543067345,0.0034882472111628596,79.4
106,700.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,2000.010186582604,0.0,0.013461094636183519,0.0007510643738966722,0.005204136555011456,0.004775102321918194,0.0027307913853571964,79.4
107,725.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1908.4222178343418,0.0,0.015623807907104492,0.0006566872963538537,0.004838466644287109,0.007770703389094426,0.0023579505773691023,79.5
108,750.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1911.987688260286,0.0,0.01669029089120718,0.0010061080639178937,0.005840356533343975,0.007323787762568547,0.002520038531376765,79.5
109,775.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1945.0137159380995,0.0,0.014817439592801608,0.0006813544493455153,0.004749518174391527,0.006639168812678411,0.0027473981563861547,79.5
110,800.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1945.8702632303216,0.0,0.013907707654512845,0.0014435786467332107,0.0054171177057119515,0.004513172002939077,0.002533839299128606,79.5
111,825.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,2009.27108527853,0.0,0.014444204477163462,0.000887769919175368,0.004373742983891414,0.0066910248536330005,0.002491666720463679,79.5
112,850.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1896.7167224590667,0.0,0.015334010124206543,0.0005881144450261042,0.005272507667541504,0.0068203485929048974,0.002653039418734038,79.5
113,875.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1931.1497719048389,0.0,0.014698395362267127,0.0006283338253314679,0.0048372011918288,0.0065320821908804085,0.0027007781542264502,79.5
114,900.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1969.7740215504475,0.0,0.016133198371300332,0.0007862953039316031,0.004912981620201698,0.007781945742093599,0.00265197570507343,79.5
115,925.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1959.0366529536634,0.0,0.019317792012141302,0.0007783174514770508,0.005044469466576209,0.010609745979309082,0.0028852591147789583,79.5
116,950.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1952.4932787168905,0.0,0.016022581320542555,0.0007866804416363055,0.005106485806978666,0.007214060196509728,0.0029153548754178565,79.5
117,975.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1923.3651796726542,0.0,0.017272197283231296,0.0007474880952101487,0.006221826259906475,0.007345520533048189,0.002957362395066482,79.5
118,1000.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1951.646299411493,0.0,0.022922570888812728,0.0008021868192232572,0.005032658576965332,0.01467602069561298,0.0024117047970111574,79.5
119,1025.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1940.2173361927937,0.0,0.016747887317950908,0.0006291866302490234,0.0060124030480018026,0.007710007520822378,0.002396290118877705,79.5
120,1050.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1973.7196861005255,0.0,0.014266151648301344,0.00065613709963285,0.004569154519301195,0.0062060722937950724,0.0028347877355722273,79.5
121,1075.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1961.5965768853202,0.0,0.01463777285355788,0.0007613805624154898,0.005255011411813589,0.0062689689489511344,0.002352411930377666,79.5
122,1100.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1934.7475300326478,0.0,0.014820392315204326,0.0008980494279127854,0.005283328203054574,0.005713792947622446,0.00292522173661452,79.5
123,1125.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,720p,7.0,1960.4169968040992,0.0,0.016790921871478744,0.0008888519727266752,0.005353881762577938,0.007832793089059683,0.0027153950471144467,79.5
